status_type,num_reactions,num_comments,num_shares,num_likes,x1,x2,x3,x4
photo,1272,7,1,1272,636,0.875,0.125,159
photo,1238,21,0,1238,619,2.625,0,154.75
photo,1500,13,1,1500,750,1.625,0.125,187.5
status,1917,58,8,1917,958.5,7.25,1,239.625
photo,1126,66,6,1126,563,8.25,0.75,140.75
photo,1246,41,3,1246,623,5.125,0.375,155.75
photo,1540,25,2,1540,770,3.125,0.25,192.5
photo,1282,35,4,1282,641,4.375,0.5,160.25
photo,1253,42,6,1253,626.5,5.25,0.75,156.625
photo,1484,44,3,1484,742,5.5,0.375,185.5
photo,1445,40,3,1445,722.5,5,0.375,180.625
link,1132,16,8,1132,566,2,1,141.5
photo,1610,55,8,1610,805,6.875,1,201.25
video,1714,36,9,1714,857,4.5,1.125,214.25
video,2785,26,1,2785,1392.5,3.25,0.125,348.125
photo,1884,17,2,1884,942,2.125,0.25,235.5
status,1667,6,0,1667,833.5,0.75,0,208.375
video,1204,9,5,1204,602,1.125,0.625,150.5
link,1182,0,0,1182,591,0,0,147.75
link,1212,7,1,1212,606,0.875,0.125,151.5
photo,2674,24,1,2674,1337,3,0.125,334.25
photo,2054,21,3,2054,1027,2.625,0.375,256.75
photo,1469,51,4,1469,734.5,6.375,0.5,183.625
photo,1668,10,1,1668,834,1.25,0.125,208.5
photo,2000,9,1,2000,1000,1.125,0.125,250
photo,1497,11,0,1497,748.5,1.375,0,187.125
link,1342,4,0,1342,671,0.5,0,167.75
photo,1268,6,0,1268,634,0.75,0,158.5
photo,1428,8,0,1428,714,1,0,178.5
photo,1492,5,0,1492,746,0.625,0,186.5
video,2621,122,98,2621,1310.5,15.25,12.25,327.625
video,1277,14,29,1277,638.5,1.75,3.625,159.625
photo,1833,30,0,1833,916.5,3.75,0,229.125
status,2149,37,0,2149,1074.5,4.625,0,268.625
photo,1562,46,9,1562,781,5.75,1.125,195.25
status,98,3,1,98,49,0.375,0.125,12.25
status,264,43,0,264,132,5.375,0,33
photo,1253,13,4,1253,626.5,1.625,0.5,156.625
photo,1300,18,1,1300,650,2.25,0.125,162.5
photo,1451,8,0,1451,725.5,1,0,181.375
link,1444,6,1,1444,722,0.75,0.125,180.5
link,1182,0,0,1182,591,0,0,147.75
photo,366,28,5,366,183,3.5,0.625,45.75
photo,1424,6,0,1424,712,0.75,0,178
video,1294,23,47,1294,647,2.875,5.875,161.75
video,1501,113,38,1501,750.5,14.125,4.75,187.625
photo,16,0,0,16,8,0,0,2
photo,40,0,0,40,20,0,0,5
video,1078,131,50,1078,539,16.375,6.25,134.75
photo,413,29,3,413,206.5,3.625,0.375,51.625
video,1077,243,65,1077,538.5,30.375,8.125,134.625
video,860,196,64,860,430,24.5,8,107.5
video,748,38,12,748,374,4.75,1.5,93.5
photo,0,0,0,0,0,0,0,0
video,103,1,0,103,51.5,0.125,0,12.875
photo,9,0,1,9,4.5,0,0.125,1.125
photo,7,0,0,7,3.5,0,0,0.875
photo,10,0,0,10,5,0,0,1.25
photo,15,0,0,15,7.5,0,0,1.875
photo,16,0,3,16,8,0,0.375,2
video,616,11,0,616,308,1.375,0,77
video,1781,162,30,1781,890.5,20.25,3.75,222.625
video,1343,15,3,1343,671.5,1.875,0.375,167.875
video,212,16,0,212,106,2,0,26.5
video,1053,5,1,1053,526.5,0.625,0.125,131.625
video,1272,17,0,1272,636,2.125,0,159
video,2081,58,36,2081,1040.5,7.25,4.5,260.125
video,2713,67,15,2713,1356.5,8.375,1.875,339.125
video,1529,22,7,1529,764.5,2.75,0.875,191.125
video,753,9,0,753,376.5,1.125,0,94.125
video,271,3,0,271,135.5,0.375,0,33.875
video,1429,34,14,1429,714.5,4.25,1.75,178.625
video,147,4,1,147,73.5,0.5,0.125,18.375
video,3730,156,93,3730,1865,19.5,11.625,466.25
video,357,7,1,357,178.5,0.875,0.125,44.625
photo,358,1,0,358,179,0.125,0,44.75
video,1211,84,8,1211,605.5,10.5,1,151.375
video,323,12,1,323,161.5,1.5,0.125,40.375
video,169,4,0,169,84.5,0.5,0,21.125
video,774,25,7,774,387,3.125,0.875,96.75
video,1058,29,12,1058,529,3.625,1.5,132.25
video,230,4,1,230,115,0.5,0.125,28.75
video,1204,23,13,1204,602,2.875,1.625,150.5
video,375,15,1,375,187.5,1.875,0.125,46.875
video,300,15,0,300,150,1.875,0,37.5
video,228,9,0,228,114,1.125,0,28.5
video,435,9,1,435,217.5,1.125,0.125,54.375
video,572,6,2,572,286,0.75,0.25,71.5
video,532,19,1,532,266,2.375,0.125,66.5
video,471,10,1,471,235.5,1.25,0.125,58.875
video,640,31,2,640,320,3.875,0.25,80
photo,376,3,20,376,188,0.375,2.5,47
video,330,5,0,330,165,0.625,0,41.25
video,591,41,2,591,295.5,5.125,0.25,73.875
video,519,17,7,519,259.5,2.125,0.875,64.875
video,437,4,0,437,218.5,0.5,0,54.625
video,287,5,1,287,143.5,0.625,0.125,35.875
video,482,38,0,482,241,4.75,0,60.25
video,543,17,11,543,271.5,2.125,1.375,67.875
video,463,14,0,463,231.5,1.75,0,57.875
photo,272,3,0,272,136,0.375,0,34
video,432,5,0,432,216,0.625,0,54
video,1013,24,0,1013,506.5,3,0,126.625
video,653,19,3,653,326.5,2.375,0.375,81.625
video,148,6,0,148,74,0.75,0,18.5
video,433,7,0,433,216.5,0.875,0,54.125
video,404,6,7,404,202,0.75,0.875,50.5
video,616,7,0,616,308,0.875,0,77
video,452,5,0,452,226,0.625,0,56.5
video,457,6,0,457,228.5,0.75,0,57.125
video,600,13,0,600,300,1.625,0,75
video,345,7,1,345,172.5,0.875,0.125,43.125
video,156,7,0,156,78,0.875,0,19.5
video,227,11,7,227,113.5,1.375,0.875,28.375
video,748,40,4,748,374,5,0.5,93.5
video,406,3,2,406,203,0.375,0.25,50.75
video,548,36,5,548,274,4.5,0.625,68.5
photo,156,0,0,156,78,0,0,19.5
video,641,14,2,641,320.5,1.75,0.25,80.125
photo,14,1,0,14,7,0.125,0,1.75
video,489,13,1,489,244.5,1.625,0.125,61.125
video,644,30,0,644,322,3.75,0,80.5
video,187,12,1,187,93.5,1.5,0.125,23.375
video,893,23,2,893,446.5,2.875,0.25,111.625
video,406,18,8,406,203,2.25,1,50.75
video,329,10,1,329,164.5,1.25,0.125,41.125
video,507,15,0,507,253.5,1.875,0,63.375
photo,188,8,0,188,94,1,0,23.5
video,359,6,0,359,179.5,0.75,0,44.875
video,525,14,1,525,262.5,1.75,0.125,65.625
video,306,12,0,306,153,1.5,0,38.25
video,615,20,4,615,307.5,2.5,0.5,76.875
video,572,10,0,572,286,1.25,0,71.5
video,110,0,1,110,55,0,0.125,13.75
video,742,10,1,742,371,1.25,0.125,92.75
video,596,17,1,596,298,2.125,0.125,74.5
video,1230,31,2,1230,615,3.875,0.25,153.75
video,758,24,3,758,379,3,0.375,94.75
video,322,9,12,322,161,1.125,1.5,40.25
video,924,22,6,924,462,2.75,0.75,115.5
photo,537,16,1,537,268.5,2,0.125,67.125
video,433,4,0,433,216.5,0.5,0,54.125
video,442,17,11,442,221,2.125,1.375,55.25
video,544,19,0,544,272,2.375,0,68
video,699,10,2,699,349.5,1.25,0.25,87.375
video,1442,48,5,1442,721,6,0.625,180.25
video,332,3,2,332,166,0.375,0.25,41.5
video,972,16,2,972,486,2,0.25,121.5
video,330,18,0,330,165,2.25,0,41.25
video,1325,30,2,1325,662.5,3.75,0.25,165.625
video,1923,234,5,1923,961.5,29.25,0.625,240.375
video,1467,107,1,1467,733.5,13.375,0.125,183.375
video,1989,36,5,1989,994.5,4.5,0.625,248.625
video,779,9,0,779,389.5,1.125,0,97.375
video,626,9,0,626,313,1.125,0,78.25
video,493,14,2,493,246.5,1.75,0.25,61.625
video,2520,64,33,2520,1260,8,4.125,315
video,273,10,0,273,136.5,1.25,0,34.125
video,2613,50,3,2613,1306.5,6.25,0.375,326.625
video,2137,44,3,2137,1068.5,5.5,0.375,267.125
video,665,9,1,665,332.5,1.125,0.125,83.125
video,3919,77,12,3919,1959.5,9.625,1.5,489.875
video,4094,61,6,4094,2047,7.625,0.75,511.75
video,2836,48,7,2836,1418,6,0.875,354.5
video,562,5,1,562,281,0.625,0.125,70.25
video,767,26,2,767,383.5,3.25,0.25,95.875
video,722,9,1,722,361,1.125,0.125,90.25
link,37,0,0,37,18.5,0,0,4.625
video,637,8,1,637,318.5,1,0.125,79.625
video,1347,13,1,1347,673.5,1.625,0.125,168.375
video,922,5,0,922,461,0.625,0,115.25
video,108,6,2,108,54,0.75,0.25,13.5
video,685,10,2,685,342.5,1.25,0.25,85.625
video,450,4,0,450,225,0.5,0,56.25
video,353,0,3,353,176.5,0,0.375,44.125
video,458,3,0,458,229,0.375,0,57.25
video,2669,23,2,2669,1334.5,2.875,0.25,333.625
video,371,3,1,371,185.5,0.375,0.125,46.375
video,973,8,1,973,486.5,1,0.125,121.625
video,778,24,2,778,389,3,0.25,97.25
video,551,2,0,551,275.5,0.25,0,68.875
video,501,4,0,501,250.5,0.5,0,62.625
video,493,17,1,493,246.5,2.125,0.125,61.625
video,306,7,1,306,153,0.875,0.125,38.25
video,405,6,1,405,202.5,0.75,0.125,50.625
video,497,8,0,497,248.5,1,0,62.125
video,782,11,0,782,391,1.375,0,97.75
video,367,7,0,367,183.5,0.875,0,45.875
video,500,16,0,500,250,2,0,62.5
video,426,9,2,426,213,1.125,0.25,53.25
video,880,24,1,880,440,3,0.125,110
video,716,28,0,716,358,3.5,0,89.5
video,461,17,1,461,230.5,2.125,0.125,57.625
video,244,6,0,244,122,0.75,0,30.5
video,589,18,1,589,294.5,2.25,0.125,73.625
video,321,6,0,321,160.5,0.75,0,40.125
video,396,10,0,396,198,1.25,0,49.5
video,350,5,0,350,175,0.625,0,43.75
photo,164,5,0,164,82,0.625,0,20.5
video,718,20,0,718,359,2.5,0,89.75
video,196,12,0,196,98,1.5,0,24.5
video,849,25,1,849,424.5,3.125,0.125,106.125
video,109,6,3,109,54.5,0.75,0.375,13.625
video,413,7,2,413,206.5,0.875,0.25,51.625
video,395,16,0,395,197.5,2,0,49.375
video,425,12,0,425,212.5,1.5,0,53.125
video,688,8,0,688,344,1,0,86
video,313,6,0,313,156.5,0.75,0,39.125
video,399,34,4,399,199.5,4.25,0.5,49.875
video,714,46,5,714,357,5.75,0.625,89.25
video,576,17,3,576,288,2.125,0.375,72
video,462,15,0,462,231,1.875,0,57.75
photo,41,2,0,41,20.5,0.25,0,5.125
video,469,17,0,469,234.5,2.125,0,58.625
photo,17,2,0,17,8.5,0.25,0,2.125
photo,6,0,0,6,3,0,0,0.75
photo,344,10,0,344,172,1.25,0,43
video,621,16,8,621,310.5,2,1,77.625
video,603,13,1,603,301.5,1.625,0.125,75.375
video,530,13,0,530,265,1.625,0,66.25
photo,211,2,0,211,105.5,0.25,0,26.375
video,327,6,6,327,163.5,0.75,0.75,40.875
video,505,21,11,505,252.5,2.625,1.375,63.125
video,424,6,0,424,212,0.75,0,53
video,514,10,2,514,257,1.25,0.25,64.25
video,412,17,0,412,206,2.125,0,51.5
video,150,4,0,150,75,0.5,0,18.75
video,233,4,0,233,116.5,0.5,0,29.125
video,906,22,3,906,453,2.75,0.375,113.25
video,800,26,2,800,400,3.25,0.25,100
video,279,10,0,279,139.5,1.25,0,34.875
video,715,18,6,715,357.5,2.25,0.75,89.375
video,969,46,4,969,484.5,5.75,0.5,121.125
video,489,23,11,489,244.5,2.875,1.375,61.125
video,294,25,3,294,147,3.125,0.375,36.75
video,437,31,0,437,218.5,3.875,0,54.625
photo,219,8,0,219,109.5,1,0,27.375
video,267,9,0,267,133.5,1.125,0,33.375
video,321,12,2,321,160.5,1.5,0.25,40.125
video,190,3,0,190,95,0.375,0,23.75
video,318,14,0,318,159,1.75,0,39.75
video,246,17,1,246,123,2.125,0.125,30.75
video,327,9,0,327,163.5,1.125,0,40.875
video,417,6,0,417,208.5,0.75,0,52.125
video,317,5,0,317,158.5,0.625,0,39.625
video,340,11,0,340,170,1.375,0,42.5
video,385,12,0,385,192.5,1.5,0,48.125
video,543,5,0,543,271.5,0.625,0,67.875
video,981,32,6,981,490.5,4,0.75,122.625
video,308,5,0,308,154,0.625,0,38.5
video,425,5,1,425,212.5,0.625,0.125,53.125
video,542,9,0,542,271,1.125,0,67.75
video,254,2,0,254,127,0.25,0,31.75
video,325,36,0,325,162.5,4.5,0,40.625
video,287,9,0,287,143.5,1.125,0,35.875
video,247,8,0,247,123.5,1,0,30.875
video,273,7,0,273,136.5,0.875,0,34.125
video,396,30,1,396,198,3.75,0.125,49.5
video,241,2,0,241,120.5,0.25,0,30.125
video,204,1,0,204,102,0.125,0,25.5
video,199,6,1,199,99.5,0.75,0.125,24.875
photo,6,0,0,6,3,0,0,0.75
video,421,10,2,421,210.5,1.25,0.25,52.625
video,240,7,0,240,120,0.875,0,30
video,479,18,1,479,239.5,2.25,0.125,59.875
video,282,7,0,282,141,0.875,0,35.25
video,107,1,2,107,53.5,0.125,0.25,13.375
video,258,5,0,258,129,0.625,0,32.25
video,799,31,4,799,399.5,3.875,0.5,99.875
video,157,9,3,157,78.5,1.125,0.375,19.625
video,358,19,1,358,179,2.375,0.125,44.75
photo,45,1,0,45,22.5,0.125,0,5.625
video,155,2,0,155,77.5,0.25,0,19.375
video,328,21,5,328,164,2.625,0.625,41
video,271,6,0,271,135.5,0.75,0,33.875
video,202,10,1,202,101,1.25,0.125,25.25
video,249,7,1,249,124.5,0.875,0.125,31.125
video,460,31,1,460,230,3.875,0.125,57.5
video,100,0,0,100,50,0,0,12.5
video,101,2,1,101,50.5,0.25,0.125,12.625
video,258,7,0,258,129,0.875,0,32.25
video,152,5,0,152,76,0.625,0,19
photo,87,3,0,87,43.5,0.375,0,10.875
photo,46,4,0,46,23,0.5,0,5.75
photo,63,0,0,63,31.5,0,0,7.875
video,271,3,1,271,135.5,0.375,0.125,33.875
video,126,5,2,126,63,0.625,0.25,15.75
video,175,6,0,175,87.5,0.75,0,21.875
video,47,0,1,47,23.5,0,0.125,5.875
photo,42,0,0,42,21,0,0,5.25
photo,53,1,0,53,26.5,0.125,0,6.625
photo,100,1,1,100,50,0.125,0.125,12.5
photo,41,1,0,41,20.5,0.125,0,5.125
photo,34,0,0,34,17,0,0,4.25
video,238,4,0,238,119,0.5,0,29.75
video,223,3,1,223,111.5,0.375,0.125,27.875
photo,75,0,0,75,37.5,0,0,9.375
photo,101,1,0,101,50.5,0.125,0,12.625
photo,51,0,0,51,25.5,0,0,6.375
photo,77,3,0,77,38.5,0.375,0,9.625
video,1190,12,1,1190,595,1.5,0.125,148.75
photo,9,0,0,9,4.5,0,0,1.125
photo,134,3,0,134,67,0.375,0,16.75
photo,72,0,0,72,36,0,0,9
video,188,6,0,188,94,0.75,0,23.5
video,221,2,0,221,110.5,0.25,0,27.625
video,221,3,0,221,110.5,0.375,0,27.625
photo,94,3,0,94,47,0.375,0,11.75
video,82,3,0,82,41,0.375,0,10.25
photo,216,8,0,216,108,1,0,27
video,110,0,0,110,55,0,0,13.75
video,348,0,0,348,174,0,0,43.5
video,225,13,0,225,112.5,1.625,0,28.125
photo,80,1,0,80,40,0.125,0,10
photo,91,6,0,91,45.5,0.75,0,11.375
photo,184,11,0,184,92,1.375,0,23
video,562,0,0,562,281,0,0,70.25
photo,184,0,0,184,92,0,0,23
photo,190,2,0,190,95,0.25,0,23.75
video,360,23,2,360,180,2.875,0.25,45
video,57,0,0,57,28.5,0,0,7.125
photo,102,4,0,102,51,0.5,0,12.75
photo,152,2,0,152,76,0.25,0,19
photo,263,14,0,263,131.5,1.75,0,32.875
video,62,1,0,62,31,0.125,0,7.75
video,126,18,0,126,63,2.25,0,15.75
photo,114,3,0,114,57,0.375,0,14.25
photo,187,9,0,187,93.5,1.125,0,23.375
photo,58,7,0,58,29,0.875,0,7.25
photo,46,3,0,46,23,0.375,0,5.75
photo,183,4,0,183,91.5,0.5,0,22.875
photo,99,11,0,99,49.5,1.375,0,12.375
photo,51,0,0,51,25.5,0,0,6.375
photo,92,6,0,92,46,0.75,0,11.5
photo,103,6,0,103,51.5,0.75,0,12.875
photo,326,9,0,326,163,1.125,0,40.75
photo,113,2,0,113,56.5,0.25,0,14.125
photo,61,0,0,61,30.5,0,0,7.625
photo,76,3,0,76,38,0.375,0,9.5
photo,66,1,0,66,33,0.125,0,8.25
video,638,34,9,638,319,4.25,1.125,79.75
video,154,0,0,154,77,0,0,19.25
video,95,9,3,95,47.5,1.125,0.375,11.875
photo,29,0,0,29,14.5,0,0,3.625
photo,71,2,1,71,35.5,0.25,0.125,8.875
video,813,6,0,813,406.5,0.75,0,101.625
video,506,44,7,506,253,5.5,0.875,63.25
photo,68,7,0,68,34,0.875,0,8.5
video,174,11,0,174,87,1.375,0,21.75
photo,105,4,0,105,52.5,0.5,0,13.125
photo,179,11,0,179,89.5,1.375,0,22.375
video,191,6,0,191,95.5,0.75,0,23.875
video,203,3,1,203,101.5,0.375,0.125,25.375
photo,277,52,2,277,138.5,6.5,0.25,34.625
video,62,2,0,62,31,0.25,0,7.75
video,200,6,0,200,100,0.75,0,25
photo,339,30,0,339,169.5,3.75,0,42.375
video,178,10,1,178,89,1.25,0.125,22.25
photo,23,0,0,23,11.5,0,0,2.875
video,65,11,0,65,32.5,1.375,0,8.125
video,250,7,6,250,125,0.875,0.75,31.25
photo,59,0,0,59,29.5,0,0,7.375
video,110,12,3,110,55,1.5,0.375,13.75
video,147,13,2,147,73.5,1.625,0.25,18.375
photo,62,6,0,62,31,0.75,0,7.75
video,686,53,3,686,343,6.625,0.375,85.75
video,351,5,2,351,175.5,0.625,0.25,43.875
video,215,12,1,215,107.5,1.5,0.125,26.875
video,100,6,6,100,50,0.75,0.75,12.5
video,131,1,1,131,65.5,0.125,0.125,16.375
video,560,22,12,560,280,2.75,1.5,70
video,374,9,16,374,187,1.125,2,46.75
video,559,22,7,559,279.5,2.75,0.875,69.875
video,169,6,5,169,84.5,0.75,0.625,21.125
video,473,9,9,473,236.5,1.125,1.125,59.125
video,58,2,4,58,29,0.25,0.5,7.25
video,164,4,9,164,82,0.5,1.125,20.5
video,614,24,21,614,307,3,2.625,76.75
video,211,2,4,211,105.5,0.25,0.5,26.375
video,129,9,3,129,64.5,1.125,0.375,16.125
video,155,5,9,155,77.5,0.625,1.125,19.375
video,438,14,19,438,219,1.75,2.375,54.75
video,304,20,24,304,152,2.5,3,38
video,116,2,10,116,58,0.25,1.25,14.5
video,135,1,2,135,67.5,0.125,0.25,16.875
photo,115,9,0,115,57.5,1.125,0,14.375
photo,128,3,0,128,64,0.375,0,16
photo,128,3,0,128,64,0.375,0,16
photo,55,4,4,55,27.5,0.5,0.5,6.875
photo,109,1,0,109,54.5,0.125,0,13.625
photo,58,0,0,58,29,0,0,7.25
photo,83,0,0,83,41.5,0,0,10.375
photo,164,6,0,164,82,0.75,0,20.5
video,210,9,0,210,105,1.125,0,26.25
video,133,17,5,133,66.5,2.125,0.625,16.625
video,91,6,6,91,45.5,0.75,0.75,11.375
video,226,13,0,226,113,1.625,0,28.25
video,50,3,0,50,25,0.375,0,6.25
video,243,0,0,243,121.5,0,0,30.375
video,113,15,0,113,56.5,1.875,0,14.125
video,243,5,5,243,121.5,0.625,0.625,30.375
video,141,1,1,141,70.5,0.125,0.125,17.625
video,130,0,5,130,65,0,0.625,16.25
video,65,2,4,65,32.5,0.25,0.5,8.125
photo,3,3,0,3,1.5,0.375,0,0.375
photo,75,3,0,75,37.5,0.375,0,9.375
video,45,0,1,45,22.5,0,0.125,5.625
video,177,14,4,177,88.5,1.75,0.5,22.125
photo,45,1,0,45,22.5,0.125,0,5.625
photo,93,8,0,93,46.5,1,0,11.625
video,73,0,2,73,36.5,0,0.25,9.125
photo,82,5,0,82,41,0.625,0,10.25
video,89,17,1,89,44.5,2.125,0.125,11.125
video,52,5,3,52,26,0.625,0.375,6.5
video,52,5,3,52,26,0.625,0.375,6.5
photo,32,1,0,32,16,0.125,0,4
photo,140,18,0,140,70,2.25,0,17.5
photo,113,5,0,113,56.5,0.625,0,14.125
video,1201,86,3,1201,600.5,10.75,0.375,150.125
video,1145,22,4,1145,572.5,2.75,0.5,143.125
video,107,5,5,107,53.5,0.625,0.625,13.375
photo,27,5,0,27,13.5,0.625,0,3.375
photo,101,9,0,101,50.5,1.125,0,12.625
video,160,8,3,160,80,1,0.375,20
video,197,20,2,197,98.5,2.5,0.25,24.625
photo,70,3,0,70,35,0.375,0,8.75
video,88,11,1,88,44,1.375,0.125,11
photo,22,1,0,22,11,0.125,0,2.75
video,265,5,0,265,132.5,0.625,0,33.125
photo,73,4,7,73,36.5,0.5,0.875,9.125
photo,211,2,0,211,105.5,0.25,0,26.375
video,165,9,0,165,82.5,1.125,0,20.625
video,190,6,1,190,95,0.75,0.125,23.75
video,83,1,0,83,41.5,0.125,0,10.375
photo,51,1,0,51,25.5,0.125,0,6.375
video,386,15,14,386,193,1.875,1.75,48.25
video,135,14,0,135,67.5,1.75,0,16.875
video,273,35,2,273,136.5,4.375,0.25,34.125
video,87,25,4,87,43.5,3.125,0.5,10.875
video,240,30,2,240,120,3.75,0.25,30
photo,47,1,0,47,23.5,0.125,0,5.875
video,23,7,16,23,11.5,0.875,2,2.875
photo,84,4,0,84,42,0.5,0,10.5
photo,18,0,0,18,9,0,0,2.25
photo,59,5,0,59,29.5,0.625,0,7.375
photo,44,0,0,44,22,0,0,5.5
photo,28,0,0,28,14,0,0,3.5
photo,30,1,0,30,15,0.125,0,3.75
photo,39,2,0,39,19.5,0.25,0,4.875
photo,17,0,1,17,8.5,0,0.125,2.125
photo,74,15,1,74,37,1.875,0.125,9.25
photo,68,6,0,68,34,0.75,0,8.5
photo,65,2,10,65,32.5,0.25,1.25,8.125
photo,52,2,0,52,26,0.25,0,6.5
photo,78,8,0,78,39,1,0,9.75
photo,28,3,0,28,14,0.375,0,3.5
photo,63,5,0,63,31.5,0.625,0,7.875
photo,19,24,0,19,9.5,3,0,2.375
photo,21,22,0,21,10.5,2.75,0,2.625
photo,77,12,0,77,38.5,1.5,0,9.625
video,137,3,1,137,68.5,0.375,0.125,17.125
photo,537,16,1,537,268.5,2,0.125,67.125
photo,57,5,1,57,28.5,0.625,0.125,7.125
video,144,11,0,144,72,1.375,0,18
photo,13,1,0,13,6.5,0.125,0,1.625
photo,10,0,0,10,5,0,0,1.25
video,108,5,0,108,54,0.625,0,13.5
photo,49,0,0,49,24.5,0,0,6.125
photo,1,0,0,1,0.5,0,0,0.125
photo,29,1,0,29,14.5,0.125,0,3.625
photo,24,2,2,24,12,0.25,0.25,3
photo,156,17,0,156,78,2.125,0,19.5
photo,56,1,0,56,28,0.125,0,7
photo,34,1,0,34,17,0.125,0,4.25
photo,16,1,0,16,8,0.125,0,2
photo,25,1,0,25,12.5,0.125,0,3.125
photo,38,4,1,38,19,0.5,0.125,4.75
photo,45,5,0,45,22.5,0.625,0,5.625
photo,74,2,0,74,37,0.25,0,9.25
photo,8,0,0,8,4,0,0,1
photo,2,0,0,2,1,0,0,0.25
photo,131,8,0,131,65.5,1,0,16.375
photo,32,3,0,32,16,0.375,0,4
photo,14,1,1,14,7,0.125,0.125,1.75
photo,90,10,4,90,45,1.25,0.5,11.25
photo,122,2,0,122,61,0.25,0,15.25
photo,5,0,0,5,2.5,0,0,0.625
photo,97,5,1,97,48.5,0.625,0.125,12.125
photo,31,1,0,31,15.5,0.125,0,3.875
photo,80,4,0,80,40,0.5,0,10
photo,51,1,1,51,25.5,0.125,0.125,6.375
photo,38,0,0,38,19,0,0,4.75
photo,102,5,0,102,51,0.625,0,12.75
photo,92,10,1,92,46,1.25,0.125,11.5
photo,54,4,0,54,27,0.5,0,6.75
photo,44,4,0,44,22,0.5,0,5.5
photo,78,5,1,78,39,0.625,0.125,9.75
photo,66,10,1,66,33,1.25,0.125,8.25
photo,54,6,2,54,27,0.75,0.25,6.75
photo,25,0,0,25,12.5,0,0,3.125
photo,74,5,1,74,37,0.625,0.125,9.25
photo,79,7,1,79,39.5,0.875,0.125,9.875
photo,104,3,1,104,52,0.375,0.125,13
photo,38,7,0,38,19,0.875,0,4.75
photo,17,6,0,17,8.5,0.75,0,2.125
photo,75,8,0,75,37.5,1,0,9.375
photo,52,3,0,52,26,0.375,0,6.5
photo,38,0,5,38,19,0,0.625,4.75
photo,58,5,0,58,29,0.625,0,7.25
photo,12,1,2,12,6,0.125,0.25,1.5
photo,4,0,2,4,2,0,0.25,0.5
photo,28,4,0,28,14,0.5,0,3.5
photo,4,0,1,4,2,0,0.125,0.5
photo,51,0,0,51,25.5,0,0,6.375
photo,18,1,0,18,9,0.125,0,2.25
photo,45,0,0,45,22.5,0,0,5.625
photo,14,0,0,14,7,0,0,1.75
photo,54,1,0,54,27,0.125,0,6.75
photo,65,4,0,65,32.5,0.5,0,8.125
photo,73,0,0,73,36.5,0,0,9.125
photo,43,3,0,43,21.5,0.375,0,5.375
photo,28,4,1,28,14,0.5,0.125,3.5
photo,22,1,0,22,11,0.125,0,2.75
photo,39,3,0,39,19.5,0.375,0,4.875
photo,62,8,0,62,31,1,0,7.75
photo,20,2,0,20,10,0.25,0,2.5
photo,17,0,0,17,8.5,0,0,2.125
photo,49,7,0,49,24.5,0.875,0,6.125
photo,62,7,0,62,31,0.875,0,7.75
photo,43,2,0,43,21.5,0.25,0,5.375
photo,30,1,0,30,15,0.125,0,3.75
photo,28,0,0,28,14,0,0,3.5
photo,49,2,2,49,24.5,0.25,0.25,6.125
photo,67,6,0,67,33.5,0.75,0,8.375
photo,20,1,0,20,10,0.125,0,2.5
photo,81,5,0,81,40.5,0.625,0,10.125
photo,58,6,1,58,29,0.75,0.125,7.25
photo,13,5,0,13,6.5,0.625,0,1.625
photo,47,0,0,47,23.5,0,0,5.875
photo,7,0,2,7,3.5,0,0.25,0.875
photo,62,2,1,62,31,0.25,0.125,7.75
photo,84,6,0,84,42,0.75,0,10.5
photo,23,2,0,23,11.5,0.25,0,2.875
photo,19,4,0,19,9.5,0.5,0,2.375
photo,13,0,1,13,6.5,0,0.125,1.625
photo,8,1,1,8,4,0.125,0.125,1
photo,35,1,0,35,17.5,0.125,0,4.375
photo,37,0,0,37,18.5,0,0,4.625
photo,73,10,0,73,36.5,1.25,0,9.125
photo,114,9,0,114,57,1.125,0,14.25
photo,69,6,0,69,34.5,0.75,0,8.625
photo,43,0,0,43,21.5,0,0,5.375
photo,106,3,0,106,53,0.375,0,13.25
photo,69,2,0,69,34.5,0.25,0,8.625
photo,65,2,0,65,32.5,0.25,0,8.125
photo,52,0,0,52,26,0,0,6.5
photo,79,1,0,79,39.5,0.125,0,9.875
photo,49,1,0,49,24.5,0.125,0,6.125
photo,31,0,0,31,15.5,0,0,3.875
photo,7,0,2,7,3.5,0,0.25,0.875
photo,6,0,2,6,3,0,0.25,0.75
photo,7,0,0,7,3.5,0,0,0.875
photo,5,1,1,5,2.5,0.125,0.125,0.625
photo,18,1,0,18,9,0.125,0,2.25
photo,32,0,7,32,16,0,0.875,4
photo,33,1,0,33,16.5,0.125,0,4.125
photo,97,0,0,97,48.5,0,0,12.125
photo,102,16,0,102,51,2,0,12.75
photo,38,10,0,38,19,1.25,0,4.75
photo,16,2,0,16,8,0.25,0,2
photo,3,1,2,3,1.5,0.125,0.25,0.375
photo,27,0,5,27,13.5,0,0.625,3.375
photo,78,4,35,78,39,0.5,4.375,9.75
photo,29,0,0,29,14.5,0,0,3.625
photo,66,9,0,66,33,1.125,0,8.25
photo,78,16,0,78,39,2,0,9.75
photo,57,9,1,57,28.5,1.125,0.125,7.125
photo,19,4,0,19,9.5,0.5,0,2.375
photo,82,14,0,82,41,1.75,0,10.25
photo,5,4,1,5,2.5,0.5,0.125,0.625
photo,52,5,0,52,26,0.625,0,6.5
